Town,State/Province,Number,Latitude,Longitude,Date
Joplin,MO,48,37.1,-94.5,10/5/2014
Irving,TX,125,32.9,-97,10/5/2014
Dallas,TX,51,32.8,-96.8,10/5/2014
Cape May Point,NJ,44,38.9,-75,10/5/2014
Dallas,TX,100,32.8,-96.8,10/4/2014
Tulsa,OK,125,36.1,-96,10/4/2014
san angelo,TX,100,31.6,-100.5,10/4/2014
Dallas,TX,15,32.8,-96.8,10/4/2014
Southlake,TX,33,32.9,-97.1,10/4/2014
Fort Worth,TX,116,32.8,-97.3,10/4/2014
Dallas,TX,50,32.8,-96.8,10/4/2014
Plano,TX,250,33.1,-96.7,10/4/2014
Eureka Springs,AR,40,36.4,-93.7,10/4/2014
Blanket,TX,40,31.8,-98.8,10/4/2014
Grapevine,TX,25,32.9,-97.1,10/4/2014
Southlake,TX,25,33,-97.1,10/4/2014
Benbrook,TX,150,32.7,-97.5,10/4/2014
Dallas,TX,100,32.8,-96.8,10/4/2014
Dallas,TX,20,32.8,-96.8,10/4/2014
Plano,TX,60,33.1,-96.7,10/4/2014
Falls Lake,NC,250,36,-78.7,10/4/2014
Plano,TX,50,33.1,-96.7,10/4/2014
Hurst,TX,100,32.8,-97.2,10/4/2014
Stillwater,OK,11,36.2,-97.1,10/4/2014
Dallas,TX,120,32.8,-96.8,10/4/2014
Chalk Mountain,TX,250,32.1,-97.9,10/4/2014
dallas,TX,100,32.8,-96.8,10/4/2014
Elkin,NC,7,36.3,-80.9,10/4/2014
Euless,TX,52,32.9,-97.1,10/4/2014
Abilene,TX,75,32.5,-99.7,10/4/2014
Stephenville,TX,29,32.2,-98.2,10/3/2014
Dallas,TX,50,32.8,-96.8,10/3/2014
Dallas,TX,30,32.8,-96.8,10/3/2014
Cape May Point,NJ,34,38.9,-75,10/3/2014
Fort Worth,TX,181,32.8,-97.3,10/3/2014
dallas,TX,50,32.8,-96.8,10/3/2014
Arlington,TX,100,32.6,-97.2,10/3/2014
Troutville,VA,6,37.4,-79.9,10/3/2014
Swannanoa,NC,20,35.6,-82.4,10/2/2014
Pisgah Forest,NC,69,35.3,-82.7,10/2/2014
Brevard,NC,35,35.2,-82.8,10/2/2014
Union,WV,10,37.6,-80.5,10/2/2014
black mountain,NC,60,35.6,-82.3,10/2/2014
Sperry,OK,43,36.3,-96,10/2/2014
Marion,NC,36,35.7,-82,10/2/2014
Asheville,NC,130,35.6,-82.6,10/2/2014
Candler,NC,70,35.5,-82.7,10/2/2014
Stillwater,OK,26,36.1,-97.1,10/2/2014
Dyersburg,TN,108,36.1,-89.4,10/2/2014
Gualala,CA,100,38.8,-123.4,10/2/2014
Sea Ranch,CA,50,38.7,-123.5,10/2/2014
Hutchinson,KS,150,38,-98.1,10/1/2014
Wichita,KS,10,37.7,-97.3,10/1/2014
Sapphire,NC,30,35.1,-83,10/1/2014
Brevard,NC,67,35.4,-82.8,10/1/2014
Hendersonville,NC,18,35.3,-82.5,10/1/2014
Cape May Point,NJ,28,38.9,-75,10/1/2014
Greenwood,SC,15,34.1,-82.2,10/1/2014
Agua Fria River,AZ,6,34.2,-112.1,10/1/2014
Camp Verde,AZ,4,34.6,-111.8,10/1/2014
Columbia,SC,10,34,-81,9/30/2014
COBOURG,ON,35,44,-78.2,9/30/2014
Olathe,KS,85,38.9,-94.8,9/30/2014
Louisville,TN,15,35.8,-84,9/29/2014
Rosetta McClain Gardens Scarborough,ON,93,43.7,-79.3,9/29/2014
Columbia,SC,10,34,-81,9/29/2014
Prairie City,IA,40,41.6,-93.3,9/29/2014
Reston,VA,6,39,-77.3,9/29/2014
Overland Park,KS,23,39,-94.6,9/29/2014
Leamington,ON,72,42.1,-82.6,9/29/2014
Spring Hill,KS,30,38.8,-94.8,9/28/2014
Monona,IA,24,43.1,-91.4,9/28/2014
Asheville,NC,95,35.6,-82.6,9/28/2014
Robert Moses Beach,NY,35,40.6,-73.3,9/28/2014
Kansas City,MO,59,39.2,-94.6,9/28/2014
South Haven,MI,142,42.4,-86.2,9/28/2014
Rosetta McClain Gardens Scarborough,ON,61,43.7,-79.3,9/28/2014
kodak,TN,31,36,-83.6,9/28/2014
Prairie City,IA,50,41.6,-93.3,9/28/2014
Waukee,IA,15,41.6,-93.9,9/28/2014
Overland Park,KS,200,39,-94.7,9/28/2014
Blue Ridge Pkwy MP 240,NC,12,35.8,-79,9/28/2014
Leamington,ON,318,42.1,-82.6,9/28/2014
andover,KS,12,37.7,-97.1,9/28/2014
Stratford,CT,20,41.2,-73.1,9/28/2014
Lac du Flambeau,WI,13,46,-89.9,9/28/2014
cape may,NJ,17,39,-74.9,9/28/2014
Rio Rico,AZ,22,31.5,-111,9/28/2014
Cape May Point,NJ,57,38.9,-75,9/28/2014
River Falls,WI,1,44.9,-92.6,9/28/2014
Lenexa,KS,26,39,-94.7,9/27/2014
Des Moines,IA,20,41.6,-93.6,9/27/2014
Ludington,MI,10,44,-86.4,9/27/2014
West Olive,MI,75,42.9,-86.1,9/27/2014
Brooklyn,IA,1000,41.7,-92.4,9/27/2014
Kansas City,MO,82,39.2,-94.6,9/27/2014
Lake Ozark,MO,125,38.2,-92.7,9/27/2014
Rosetta McClain Gardens Scarborough,ON,150,43.7,-79.3,9/27/2014
Florence,SC,15,34.2,-79.8,9/27/2014
Lawrence,KS,200,39,-95.2,9/27/2014
half mile off Fripp Island,SC,1,32.3,-80.5,9/27/2014
Boothbay Harbor,ME,50,43.9,-69.6,9/27/2014
Lenexa,KS,45,39,-94.7,9/27/2014
Romulus,MI,10,42.2,-83.4,9/26/2014
Saint Louis,MO,23,38.5,-90.4,9/26/2014
Kirkwood,MO,50,38.6,-90.4,9/26/2014
Oshawa,ON,101,43.9,-78.9,9/26/2014
Great Bend,KS,113,38.4,-98.8,9/25/2014
Clarksburg,MO,15,38.6,-92.7,9/25/2014
Kansas City,MO,72,39.2,-94.6,9/25/2014
Merriam,KS,15,39,-94.7,9/25/2014
buxton,NC,30,35.2,-75.5,9/25/2014
Overland Park,KS,50,39,-94.7,9/25/2014
Wright,KS,1000,37.8,-99.9,9/25/2014
Rosetta McClain Gardens Scarborough,ON,100,43.7,-79.3,9/25/2014
Buncombe County,NC,17,35.6,-82.5,9/25/2014
Bourbon,MO,50,38.2,-91.2,9/24/2014
Dyersburg,TN,32,36.1,-89.4,9/24/2014
Rye,NH,6,43,-70.8,9/23/2014
Moline,IL,10,41.5,-90.5,9/23/2014
Longdale,OK,200,36.1,-98.6,9/23/2014
Port Stanley,ON,540,42.7,-81.2,9/23/2014
Stratford,CT,8,41.2,-73.1,9/23/2014
Kansas City,MO,36,39.2,-94.6,9/23/2014
Robert Moses Beach Babylon,NY,220,40.6,-73.3,9/23/2014
Rosetta McClain Gardens Scarborough,ON,103,43.7,-79.3,9/23/2014
Prairie City,IA,10,41.6,-93.3,9/23/2014
burns,KS,300,38.1,-96.8,9/23/2014
Chicago,IL,6,41.9,-87.6,9/23/2014
Leamington,ON,270,42.1,-82.6,9/23/2014
Springfield,IL,30,39.8,-89.6,9/23/2014
Monhegan,ME,200,43.8,-69.3,9/23/2014
Cape May Point,NJ,3500,38.9,-75,9/23/2014
Great Bend,KS,62,38.4,-98.8,9/22/2014
Newbury,MA,8,42.8,-70.8,9/22/2014
Lewisburg,WV,12,37.8,-80.5,9/22/2014
Stratford,CT,42,41.2,-73.1,9/22/2014
Rosetta McClain Gardens Scarborough,ON,157,43.7,-79.3,9/22/2014
Eldora,IA,15,42.3,-93.1,9/22/2014
Kenosha,WI,120,42.6,-87.8,9/22/2014
Waterford,CT,15,41.4,-72.2,9/22/2014
Hartford,CT,36,41.8,-72.7,9/22/2014
Copan,OK,30,36.9,-95.9,9/22/2014
Indianapolis,IN,24,39.8,-86.1,9/22/2014
Cape May Point,NJ,350,38.9,-75,9/22/2014
mountain top,PA,60,41.1,-76,9/21/2014
Lenexa,KS,12,39,-94.7,9/21/2014
Knoxville,TN,30,35.9,-84,9/21/2014
Port Stanley,ON,200,42.7,-81.2,9/21/2014
Floyd,VA,12,36.9,-80.3,9/21/2014
Charlotte,VT,100,44.3,-73.2,9/21/2014
Cape May Point,NJ,34,38.9,-75,9/21/2014
Hesston,KS,16,38.1,-97.5,9/20/2014
Kirkwood,MO,20,38.6,-90.4,9/20/2014
Port Stanley,ON,230,42.7,-81.2,9/20/2014
Bloomingdale,NJ,15,41,-74.3,9/20/2014
Hesston,KS,90,38.1,-97.5,9/20/2014
Cincinnati,OH,20,39.1,-84.5,9/20/2014
Fincastle,VA,35,37.5,-79.8,9/20/2014
Lawrence,KS,300,39,-95.2,9/20/2014
Clearville Park,ON,13,42.5,-81.7,9/20/2014
Rochester Hills,MI,6,42.7,-83.1,9/20/2014
Champaign,IL,25,40.1,-88.2,9/19/2014
Chicago,IL,50,41.9,-87.6,9/19/2014
Champaign,IL,15,40.1,-88.2,9/19/2014
Crozet,VA,134,38.1,-78.7,9/19/2014
Ballwin,MO,10,38.6,-90.6,9/19/2014
Hagar Shores,MI,44,42.2,-86.4,9/19/2014
Great Bend,KS,50,38.4,-98.8,9/19/2014
Leamington,ON,54,42.1,-82.6,9/18/2014
Saratoga Springs,NY,7,43.1,-73.8,9/18/2014
Rosetta McClain Gardens Scarborough,ON,200,43.7,-79.3,9/18/2014
Prairie City,IA,125,41.6,-93.3,9/18/2014
West Cape May,NJ,160,38.9,-74.9,9/18/2014
Brookhaven,NY,30,40.7,-73.1,9/18/2014
Arapahoe,NE,50,40.3,-99.9,9/18/2014
Robert Moses Beach,NY,31,40.6,-73.3,9/18/2014
Seal Harbor,ME,100,44.3,-68.2,9/18/2014
Highgate,ON,9,42.5,-81.8,9/18/2014
Cicero,IL,48,41.8,-87.8,9/17/2014
Grosse Pointe Farms,MI,50,42.4,-82.9,9/17/2014
Shelby,OH,7,40.9,-82.7,9/17/2014
GANSEVOORT,NY,14,43.2,-73.7,9/17/2014
Toronto,ON,11,43.7,-79.4,9/17/2014
Clearville Park,ON,150,42.5,-81.8,9/17/2014
Highgate,ON,60,42.5,-81.8,9/17/2014
Rosetta McClain Gardens Scarborough,ON,350,43.7,-79.3,9/17/2014
Manitowoc,WI,102,44.1,-87.7,9/17/2014
Port Stanley,ON,1000,42.7,-81.2,9/17/2014
Moline,IL,10,41.5,-90.5,9/17/2014
Port Staley,ON,50,42.7,-81.2,9/17/2014
Leamington,ON,1500,42.1,-82.6,9/17/2014
mequon,WI,20,43.2,-88,9/17/2014
saint clair shores,MI,6,42.5,-82.9,9/17/2014
Grosse Pointe,MI,50,42.4,-82.9,9/17/2014
Hesston,KS,35,38.1,-97.5,9/17/2014
Put-in-Bay,OH,100,41.7,-82.8,9/17/2014
Altoona,IA,75,41.6,-93.7,9/17/2014
Great Bend,KS,95,38.4,-98.8,9/17/2014
Knox,IN,20,41.3,-86.6,9/17/2014
Scarborough,ON,50,43.8,-79.3,9/17/2014
Maidstone,ON,287,42.2,-82.9,9/17/2014
Tawas Point State Park,MI,500,44.3,-83.4,9/17/2014
mequon,WI,180,43.2,-88,9/17/2014
Robert Moses Beach,NY,19,40.6,-73.3,9/17/2014
Sheboygan,WI,35,43.7,-87.7,9/17/2014
Sheboygan,WI,45,43.7,-87.7,9/17/2014
Owen Point,ON,60,44,-77.7,9/17/2014
Cornwall,ON,120,45,-74.7,9/17/2014
sheboygan,WI,25,43.8,-88,9/17/2014
Leamington,ON,300,42.1,-82.6,9/17/2014
Fox Point,WI,20,43.2,-87.9,9/16/2014
Cedar Grove,WI,50,43.6,-87.9,9/16/2014
mequon,WI,180,43.2,-88,9/16/2014
Kenosha,WI,60,42.6,-87.8,9/16/2014
Kenosha,WI,60,42.6,-87.8,9/16/2014
West Cape May,NJ,1,38.9,-74.9,9/16/2014
Port Stanley,ON,500,42.7,-81.2,9/16/2014
Leamington,ON,216,42.1,-82.6,9/16/2014
Manitowoc,WI,720,44.1,-87.7,9/16/2014
Harrisville,MI,606,44.6,-83.4,9/16/2014
Rosetta McClain Gardens Scarborough,ON,300,43.7,-79.3,9/16/2014
Waukee,IA,29,41.6,-93.9,9/16/2014
Middletown,IN,30,40,-85.5,9/16/2014
Lawrence,KS,15,39,-95.2,9/16/2014
Brandon,IA,50,42.3,-92,9/16/2014
Howard,PA,30,41,-77.7,9/16/2014
CHARLESTOWN,RI,107,41.4,-71.7,9/16/2014
Presqu'ile Provincial Park,ON,1000,44,-77.7,9/16/2014
Omaha,NE,30,41.3,-95.9,9/15/2014
Toronto,ON,100,43.7,-79.4,9/15/2014
Cedar Grove,WI,24,43.6,-87.9,9/15/2014
Prairie City,IA,20,41.6,-93.3,9/15/2014
Rosetta McClain Gardens Scarborough,ON,1000,43.7,-79.3,9/15/2014
Toronto,ON,30,43.7,-79.4,9/15/2014
Toronto,ON,100,43.7,-79.4,9/15/2014
Pickering,ON,87,43.9,-79.1,9/15/2014
Port Stanley,ON,160,42.7,-81.2,9/15/2014
Isle La Motte,VT,206,44.9,-73.3,9/15/2014
"Montauk Point Beach, Montauk, n. y.",NY,300,40.9,-72.9,9/15/2014
New buffalo,MI,50,41.8,-86.7,9/14/2014
Germantown,WI,100,43.2,-88.1,9/14/2014
Etobicoke,ON,1000,43.7,-79.6,9/14/2014
Waukee,IA,20,41.6,-93.9,9/14/2014
Shabbona,IL,1500,41.8,-88.9,9/14/2014
Toronto,ON,500,43.7,-79.4,9/14/2014
Hartley,IA,138,43.2,-95.5,9/14/2014
Prairie City,IA,285,41.6,-93.3,9/14/2014
Riley County,KS,45,39.3,-96.8,9/14/2014
Bridgman,MI,200,41.9,-86.6,9/14/2014
Lincoln,NE,30,40.8,-96.7,9/14/2014
Omaha,NE,229,41.3,-95.9,9/14/2014
West Des Moines,IA,40,41.6,-93.8,9/14/2014
Toronto,ON,75,43.7,-79.4,9/14/2014
Stamford,CT,9,41.1,-73.5,9/14/2014
Two Rivers,WI,30,44.2,-87.6,9/14/2014
Waterman Prairie,IA,3000,43,-95.4,9/14/2014
montauk point,NY,100,41.1,-71.9,9/14/2014
Madison,WI,5,43.1,-89.3,9/14/2014
Cape May Point,NJ,13,38.9,-75,9/14/2014
sandusky,OH,12,41.4,-82.7,9/13/2014
Waukee,IA,14,41.6,-93.9,9/13/2014
manitowoc,WI,100,44.1,-87.7,9/13/2014
Hartley,IA,120,43.2,-95.5,9/13/2014
Rosetta McClain Gardens Scarborough,ON,800,43.7,-79.3,9/13/2014
Prairie City,IA,225,41.6,-93.3,9/13/2014
Lexington,MI,43,43.3,-82.5,9/13/2014
etobicoke,ON,800,43.7,-79.6,9/13/2014
Rosetta McClain gardens,ON,1000,43.7,-79.3,9/12/2014
Michigan city,IN,50,41.7,-86.9,9/12/2014
Rosetta McClain Gardens Scarborough,ON,212,43.7,-79.3,9/11/2014
Cannington,ON,15,44.4,-79,9/10/2014
Morrisburg,ON,108,44.9,-75.2,9/9/2014
Minneapolis,MN,12,45,-93.3,9/9/2014
Benton Harbor,MI,22,42.1,-86.4,9/9/2014
Springfield,SD,15,42.9,-98,9/9/2014
Munising,MI,100,46.4,-86.6,9/9/2014
Leamington,ON,37,42.1,-82.6,9/9/2014
Hastings,MN,1000,44.7,-92.9,9/9/2014
Rosetta McClain gardens Scarborough,ON,20,43.7,-79.3,9/9/2014
New Richmond,WI,36,45.2,-92.6,9/8/2014
Leland,MI,100,45.1,-86,9/8/2014
Fair Haven,NY,200,43.3,-76.7,9/8/2014
Prairie City,IA,52,41.6,-93.3,9/8/2014
Minnetrista,MN,350,44.9,-93.7,9/8/2014
Rosetta McClain gardens Scarborough,ON,50,43.7,-79.3,9/8/2014
Omaha,IA,300,41.3,-96,9/8/2014
Morrisburg,ON,50,44.9,-75.2,9/7/2014
minnetrista,MN,400,44.9,-93.7,9/7/2014
Port Colborne,ON,200,42.9,-79.2,9/7/2014
Minneapolis,MN,32,45,-93.3,9/7/2014
Harpswell,ME,10,43.8,-70,9/7/2014
Selfridge ANG Base,MI,12,42.6,-82.8,9/7/2014
ALMA,MI,68,43.4,-84.7,9/7/2014
Amherstburg,ON,41,42.1,-83.1,9/7/2014
Brownstown,MI,60,42.1,-83.2,9/7/2014
Boscobel,WI,75,43.1,-90.7,9/7/2014
Elk River,MN,120,45.3,-93.6,9/7/2014
Kingston,ON,50,44.3,-76.5,9/7/2014
Amherst Island,ON,40,44.1,-76.7,9/7/2014
Long Point,ON,400,42.6,-80.4,9/7/2014
Montreal,QC,20,45.5,-73.6,9/7/2014
Kent Island,MD,36,39.2,-77.3,9/7/2014
LeSueur,MN,1000,44.5,-93.8,9/7/2014
Rosetta McClain Gardens Scarborough,ON,200,43.7,-79.3,9/7/2014
Cape May Point,NJ,16,38.9,-75,9/7/2014
Chanhassen,MN,75,44.9,-93.5,9/6/2014
Minneapolis,MN,35,45,-93.3,9/6/2014
Reeseville,WI,20,43.3,-88.8,9/6/2014
Westport,MA,214,41.5,-71,9/6/2014
Scarborough,ON,1000,43.8,-79.2,9/6/2014
Richfield,MN,100,44.9,-93.3,9/6/2014
Whitby,ON,280,43.9,-78.9,9/6/2014
Port Stanley,ON,300,42.7,-81.2,9/6/2014
Mackinac Island,MI,35,45.9,-84.6,9/6/2014
Rosetta McClain Gardens Scarborough,ON,1000,43.7,-79.3,9/6/2014
Petersburg,WV,40,38.9,-79.1,9/6/2014
St. Peter,MN,7,44.3,-94,9/5/2014
Waterville Valley,NH,15,44,-71.5,9/4/2014
St Michael,MN,160,45.4,-93.5,9/4/2014
Shakopee,MN,30,44.8,-93.5,9/4/2014
Watertown,SD,50,44.9,-97.2,9/4/2014
Wayzata,MN,35,45,-93.5,9/4/2014
Rosetta McClain Gardens Scarborough,ON,21,43.7,-79.3,9/4/2014
Grafton,NH,12,43.6,-72,9/3/2014
Rosetta McClain Gardens Scarborough,ON,38,43.7,-79.3,9/3/2014
Oshkosh,WI,100,44,-88.5,9/2/2014
Roseville,MN,12,44.9,-93.3,9/1/2014
New Richmond,WI,50,45.2,-92.6,9/1/2014
Bayfield,WI,20,46.9,-90.9,9/1/2014
Plover Prairie,MN,1000,45.2,-96.4,9/1/2014
Nassau,MN,80,45.1,-96.4,9/1/2014
Gouldsboro,ME,12,44.5,-68,9/1/2014
Bay Village,OH,5,41.5,-81.9,9/1/2014
New Richmond,WI,90,45.2,-92.6,8/31/2014
Byron,MN,12,44,-92.6,8/31/2014
Bloomington,MN,31,44.8,-93.3,8/29/2014
Minnetonka,MN,40,44.9,-93.5,8/28/2014
Minnesota Lake,MN,20,43.8,-93.8,8/27/2014
minneapolis,MN,30,44.9,-93.3,8/27/2014
New Richmond,WI,48,45.1,-92.6,8/26/2014
New London,MN,32,45.3,-94.9,8/26/2014
ClarkLake,MI,100,42.1,-84.4,8/24/2014
Munising,MI,20,46.5,-86.5,8/24/2014
Leamington,ON,72,42.1,-82.6,8/24/2014
Glen Arbor,MI,27,44.9,-86,8/22/2014
St. Paul,MN,18,45,-93.1,8/21/2014
Greenbrook,NJ,1,40.4,-74.7,8/16/2014
Folly Beach,SC,1000,32.7,-79.9,11/13/2015
Saltillo,COA,478,25.4,-101,11/10/2015
Juriquilla,QUE,620,20.7,-100.4,11/9/2015
Jurica,QUE,500,20.6,-100.4,11/8/2015
San Miguel de Allende,GUA,300,20.9,-100.7,11/5/2015
Medina,GUA,300,20.9,-100.3,11/5/2015
La Puerta de San Antonio,SLP,60,21.7,-100.9,11/5/2015
Sierra Gorda,QUE,3000,21.3,-99.7,11/4/2015
Ocampo,MIC,1,19.6,-100.3,11/3/2015
Gómez Farías,TAM,870,23,-99.2,11/3/2015
Tula,TAM,30,23,-99.6,11/3/2015
Tula,TAM,1200,23,-99.6,11/3/2015
Ejido Acahuales,TAM,100,23.9,-99.6,11/3/2015
Ejido Acahuales,TAM,1000,22.9,-99.5,11/3/2015
Ejido Eligio Treviño,TAM,980,22.9,-99.5,11/3/2015
Ejido Eligio Treviño,TAM,400,22.9,-99.5,11/3/2015
Santa Maria de Guadalupe,TAM,100,22.9,-99.5,11/3/2015
Live Oak,TX,25,29.6,-98.3,11/2/2015
Gomez Farias,TAM,3000,22.9,-99,11/2/2015
Guadalupe,NL,184,25.7,-100.2,11/2/2015
Lomas de Lourdes,COA,250,25.4,-101,11/2/2015
Gómez Farías,TAM,3000,23.1,-99.2,11/2/2015
Ciudad Victoria,TAM,5,23.4,-99.4,11/2/2015
Ciudad Victoria,TAM,1000,23.4,-99.5,11/2/2015
Bustamante,TAM,150,23.3,-99.6,11/2/2015
Bustamante,TAM,200,23.3,-99.7,11/2/2015
Bustamante,TAM,200,23.3,-99.7,11/2/2015
Pedro Ruiz Molina,TAM,36,23.1,-99.7,11/2/2015
Morelia,MIC,50,19.8,-101.2,11/1/2015
Ciudad Victoria,TAM,900,23.8,-99.2,11/1/2015
Angangeuo,MIC,2,19.6,-100.3,11/1/2015
Guadalupe,NL,150,25.7,-100.3,11/1/2015
Ciudad Victoria,TAM,5000,23.6,-99.2,10/31/2015
Austin,TX,100,30.3,-97.8,10/31/2015
Austin,TX,200,30.2,-97.7,10/31/2015
Ciudad Victoria,TAM,5000,23.8,-99.2,10/31/2015
Novillo Canyon,TAM,3000,23.6,-99.4,10/31/2015
Saltillo,COA,1,25.4,-101,10/31/2015
Saltillo,COA,60,25.4,-101,10/31/2015
Saltillo,COA,1,25.4,-101,10/31/2015
Monterrey,NLE,138,25.7,-100.3,10/29/2015
Monterrey,NL,100,25.7,-100.3,10/29/2015
San Luis Potosí,SLP,60,22.2,-100.8,10/29/2015
Ciudad Valles,SLP,60,22,-99,10/29/2015
Parque Ecológico Chipinque,NL,1000,25.6,-100.4,10/29/2015
Arteaga,COA,160,25.4,-101.8,10/29/2015
Dr. Arroyo,NL,1,23.7,-100.2,10/29/2015
VICTORIA,TX,56,28.9,-97,10/28/2015
Guadalupe,NL,5000,25.7,-100.2,10/28/2015
Monterrey,NL,800,25.7,-100.3,10/28/2015
Gómez Farías,TAM,1800,23,-99.2,10/28/2015
San Nicolás de los Garza,NL,40,25.8,-100.3,10/28/2015
Ciudad Victoria,TAM,1,23.7,-99.2,10/27/2015
Guadalupe,NL,97,25.7,-100.2,10/27/2015
Monterrey,NL,27,25.7,-100.3,10/27/2015
Galveston,TX,100,29.3,-94.8,10/27/2015
Saltillo,COA,100,25.4,-101,10/27/2015
Colonia Olinalá,NL,3000,25.7,-100.4,10/27/2015
Santiago,NL,3000,25.4,-100.1,10/27/2015
Ramos Arizpe,COA,200,25.6,-101,10/27/2015
Cerro de La Silla,NL,450,25.6,-100.2,10/27/2015
Guadalupe,NLE,100,25.7,-100.2,10/26/2015
Monterrey,NL,27,25.7,-100.3,10/26/2015
Santa Catarina,NL,50,25.7,-100.4,10/26/2015
Natalia,TX,79,29.2,-98.9,10/26/2015
garza garcia,NL,300,25.7,-100.3,10/26/2015
San Nicolas de Los Garza,NL,23,25.7,-100.3,10/26/2015
San Pedro Garza García,NL,200,25.7,-100.3,10/26/2015
Monterrey,NL,50,25.7,-100.3,10/26/2015
Saltillo,COA,600,25.4,-101,10/26/2015
Saltillo,COA,540,25.4,-101,10/26/2015
Apodaca,NL,62,25.8,-100.3,10/26/2015
Chipinque,NL,1286,25.6,-100.4,10/26/2015
San Nicolás de los Garza,NL,324,25.8,-100.3,10/26/2015
Guadalupe,NL,200,25.7,-100.3,10/26/2015
Monterrey,NL,200,25.7,-100.3,10/26/2015
Monterrey,NL,400,25.7,-100.3,10/26/2015
Monclova,COA,1,26.9,-101.4,10/26/2015
San Nicolás de los Garza,NL,444,25.8,-100.3,10/26/2015
Monterrey,NL,200,25.7,-100.3,10/26/2015
Natalia,TX,22,29.2,-98.9,10/25/2015
Natalia,TX,83,29.2,-98.9,10/25/2015
Monterrey,NLE,150,25.7,-100.3,10/25/2015
Ciudad Victoria,TAM,4500,23.7,-99.2,10/25/2015
Saltillo,COA,200,25.4,-101,10/25/2015
Monterrey,NL,1000,25.7,-100.3,10/25/2015
Monterrey,NL,60,25.7,-100.3,10/25/2015
Monterrey,NL,20,25.7,-100.3,10/25/2015
Monterrey,NL,100,25.7,-100.3,10/25/2015
Saltillo,COA,3000,25.4,-101,10/25/2015
Monterrey,NL,200,25.7,-100.3,10/25/2015
Guadalupe,NL,450,25.7,-100.3,10/25/2015
Saltillo,COA,65,25.4,-101,10/25/2015
Santiago,NL,2000,25.4,-100.2,10/24/2015
Hidalgo,TAM,1,24.2,-99.6,10/24/2015
La Linda,COA,450,29.5,-102.8,10/23/2015
Marathon,TX,300,30,-103,10/23/2015
Ozona,TX,500,30.7,-101.7,10/23/2015
Saltillo,COA,85,25.4,-101,10/23/2015
Amarillo,TX,50,35.2,-101.8,10/23/2015
Point Clear,AL,200,30.5,-87.9,10/22/2015
Dewees Island,SC,100,32.8,-79.7,10/21/2015
Fort Moultrie,SC,20,32.8,-79.9,10/21/2015
Saltillo,COA,125,25.4,-101,10/21/2015
Saltillo road to San Antonio,COA,1000,25.6,-100.7,10/21/2015
Saltillo,COA,150,25.4,-101,10/21/2015
Fritch,TX,20,35.6,-101.6,10/20/2015
Alpine,TX,25,29.8,-103.6,10/20/2015
ROBERTSDALE,AL,50,30.6,-87.6,10/20/2015
Plano,TX,38,33.1,-96.7,10/20/2015
Cuatrociengas,COA,1000,27,-102.1,10/20/2015
Saltillo,COA,54,25.4,-101,10/20/2015
Saltillo,COA,35,25.4,-101,10/20/2015
Saltillo,COA,52,25.4,-101,10/20/2015
Dewees Island,SC,75,32.8,-79.7,10/20/2015
Por el aeropuerto,COA,300,27,-101.9,10/20/2015
San Pedro Garza García,NL,44,25.7,-100.3,10/20/2015
Savannah,GA,30,32.1,-81.1,10/20/2015
Fritch,TX,30,35.6,-101.6,10/19/2015
Asheville,NC,34,35.6,-82.6,10/19/2015
Santa Catarina,NL,200,25.7,-100.5,10/19/2015
San Pedro,COA,200,27,-102.1,10/19/2015
Ocampo,COA,178,27.3,-102.4,10/19/2015
Cuatro Ciénegas a Monclova,COA,1000,27,-101.7,10/19/2015
Ingleside On The Bay,TX,50,27.8,-97.2,10/18/2015
Fort Walton Beach,FL,100,30.4,-86.6,10/18/2015
Camp Wood,TX,300,29.7,-100,10/18/2015
Arcinas,DUR,9,25.8,-103.4,10/18/2015
Plano,TX,35,33.1,-96.7,10/18/2015
Fort Moultrie,SC,50,32.8,-79.9,10/18/2015
Parras de la Fuente,COA,30,25.4,-102.2,10/18/2015
San pedro de las Colonias,COA,501,25.9,-102.4,10/18/2015
Rockport,TX,50,28.2,-97,10/18/2015
London,TX,1000,30.6,-99.7,10/18/2015
Junction,TX,500,30.4,-99.6,10/18/2015
Muralla,COA,250,26.3,-101.3,10/18/2015
Spring,TX,10,30.1,-95.4,10/17/2015
Del Rio,TX,2100,29.9,-100.9,10/17/2015
Saltillo,COA,20,25.4,-101,10/17/2015
Midland,TX,100000,32,-102.1,10/17/2015
Nueva Rosita,COA,43,27.9,-101.2,10/17/2015
Santa Catarina,NL,1400,25.7,-100.5,10/17/2015
Glorieta,DUR,8,25.8,-103.4,10/16/2015
Eunice,NM,400,32.4,-103.2,10/16/2015
North Beach Haven,NJ,25,39.6,-74.2,10/16/2015
Acuña,COA,50,29,-102.1,10/16/2015
Fort Stockton,TX,150,30.7,-102.8,10/16/2015
Watkinsville,GA,14,33.8,-83.4,10/16/2015
Wellington,KS,40,37.2,-97.4,10/15/2015
Junction,TX,100,30.4,-99.6,10/15/2015
Ponder,TX,45,33.2,-97.3,10/15/2015
Zaragoza,COA,300,28.5,-100.9,10/15/2015
Amarillo,TX,50,35.2,-101.8,10/14/2015
Eagle Pass,TX,218,28.5,-100.5,10/14/2015
Cuatro Ciénegas,COA,200,27,-102.1,10/14/2015
